question,WikiLength
4433,75339
102742,19855
102743,28000
4440,28000
4442,10457
102753,20518
102754,10263
4453,28000
4455,26868
102760,75339
102761,77473
4459,28000
102765,26075
102766,61500
102768,36181
102771,12111
102774,32392
102776,15501
102778,35339
102780,9782
102782,12487
102783,10222
102786,14995
4483,11824
102788,48674
4485,24696
102790,22538
102792,82821
102793,7226
102794,45457
102796,51387
102798,1388
4499,8356
102811,36034
4508,26335
102813,12262
4510,9641
4512,18528
102818,23478
102819,12495
6214,16128
4519,12831
102824,13664
102827,6185
4524,4876
4529,14285
102834,20862
4534,3159
102839,11314
4536,28000
102841,69468
102846,28000
102847,34991
109984,16159
102853,13075
4550,32014
102856,75167
102857,76755
4556,11723
102861,0
102862,15677
4560,12565
102865,72024
102866,36538
102867,22499
4566,67809
102873,10007
4570,26799
4571,28000
4573,5240
102880,42554
102881,52030
4580,3292
102887,35323
4584,18805
102889,24773
102891,28000
102892,13726
102893,12741
102894,14843
102896,31641
102897,12730
102900,28000
102901,40575
102902,10090
102905,9300
102909,26697
102913,23022
102915,30111
102917,19064
4614,8356
4619,11676
102924,17169
102925,28000
102926,0
102927,28000
102929,62203
102931,35715
11694,29886
4632,16331
102937,41435
102938,17358
11695,21542
4636,12730
102941,14350
4641,28000
4642,27856
4643,26335
102954,16215
4651,20123
102956,39134
102958,9368
4655,28000
4656,33749
4657,4301
4660,2492
4661,7907
102968,25906
102972,48024
102973,3993
102974,14485
102975,13229
102977,22163
102978,30413
4675,24091
102980,43056
11702,11115
4678,4301
102985,20544
4683,18805
102988,4697
102991,1232
102992,28000
102997,10725
4694,26946
4695,14390
4696,28000
4699,16456
4700,4301
103005,46974
103007,19045
103008,7131
103009,31608
4707,28000
103014,22059
103015,12495
103017,5051
4716,16331
103026,28000
4724,21954
4725,18805
4726,12608
4731,14300
4732,32215
103038,45457
4735,28000
103040,30434
4738,34402
103044,40891
103045,9850
103052,15784
4749,5240
4751,28000
4752,22038
103057,51104
4755,14300
103061,18506
103063,65793
103068,16374
4765,28000
103070,15630
103072,26957
103074,30603
4778,28000
109272,28000
4791,32014
4795,58008
4797,16619
103102,21542
4799,21016
103104,17912
103105,12831
4802,24091
4806,20123
103113,50919
4810,7635
4811,14285
4814,55233
4818,58008
103123,13381
4820,6391
103127,27409
103129,32014
103131,18509
4829,18375
103138,1388
4837,18020
4840,50309
103145,21161
4843,7131
4847,15459
103154,18387
103163,0
4860,55233
4861,40898
4862,50309
4863,21905
103168,4469
4866,18375
4868,39229
103173,66112
4872,26799
4876,47052
4877,20824
4878,17169
4881,28000
103186,48050
4884,41165
4885,16331
103192,14101
103193,12767
4890,28000
103196,34546
4893,14000
103201,77512
4900,11824
4902,24091
4903,14674
4904,21016
103209,12982
4906,14300
103216,0
4914,5467
103220,52143
103221,14636
4923,14565
103228,41973
103230,13488
103232,11127
4929,42348
103235,10263
4932,3292
103238,21699
103241,12647
103242,28000
103245,32850
103247,11263
103250,20455
103251,35365
103254,47214
103255,33742
4953,0
103259,12384
103261,25757
103262,22602
11749,28000
103267,23357
4968,21016
4969,32014
103274,14995
103275,3843
103277,24831
4974,11824
4975,21954
4976,11555
4977,64109
4978,14565
103283,38280
4980,7907
4981,51764
103286,26697
103287,21954
4984,24696
4988,27211
4990,12831
103295,19653
103297,19223
4994,47052
4995,11676
4996,12982
5001,41973
5002,24696
5003,20123
5004,75565
103309,28000
5006,9626
103311,35715
5009,17169
5011,94481
5012,7131
5015,58008
103320,6080
5018,4301
103325,3292
5025,16619
5029,33749
5031,7220
103338,52138
5036,7907
5037,28000
5039,19841
5041,5240
103349,13726
5046,28000
5048,14995
103354,0
103355,20794
103357,28000
5055,18375
103360,37124
5057,28000
103362,13822
103363,43452
5061,14324
6305,9272
103369,20518
115533,15880
5072,4155
103381,12249
5081,19841
103386,36898
5084,31504
5091,63170
103396,21905
103397,27864
5094,17263
5096,8356
103402,67430
103403,28000
103405,18645
5106,19545
5108,3292
5110,17169
5112,10784
5113,21905
5114,7220
5115,26335
103421,3736
5121,12831
103426,9782
5123,47052
5124,16456
103429,52143
103430,28000
103431,12565
103433,15194
5130,18860
5132,26335
5134,7635
5136,9717
110375,75167
5138,17230
5141,3159
5147,58008
103452,15459
5149,28000
5150,7907
103456,17263
5157,27856
103462,21542
5160,28000
5161,26868
5171,51952
5174,12982
103479,0
6324,71546
5178,982
103483,61478
5183,28000
103489,33849
5191,52943
5192,28000
5196,27211
5200,18375
5201,19545
5205,7220
5206,25906
5208,21905
5209,1232
5210,5240
5211,26868
6330,18295
5214,14350
5215,17230
5216,12608
5218,11676
5219,17770
5225,25906
5226,26335
5228,14350
5230,16331
103543,38059
103549,29886
5246,14833
5248,28000
5250,10457
5253,26799
5255,12643
5257,19841
103563,36898
5260,20997
5261,13526
5262,9224
103568,52723
5265,28000
103571,6130
103573,28000
5274,15697
5275,7914
103580,26799
5279,24831
5282,10428
5289,28000
5290,23022
5293,28000
5294,13982
5302,21297
5306,2818
5308,25729
103623,45770
103626,40983
5324,19986
5325,46943
103633,0
5331,16153
5333,15697
5335,28000
5336,28000
12180,42458
5343,19653
5344,28000
6352,25196
103650,3462
5347,12329
5351,60575
5353,37065
103661,66112
5359,13467
103667,58008
5364,28000
103672,34991
103675,28544
103676,31705
5373,34455
5374,26515
103679,12767
5376,85530
5377,28000
5380,28000
103686,17943
5384,41491
5386,33891
5389,33339
103694,14108
103697,14674
103699,20862
5397,6535
103702,11902
5399,24831
5400,32215
5401,8040
5403,40564
5404,14055
103709,19653
5406,51057
5408,7226
5409,28000
5410,22539
5413,14833
5414,19986
103722,67809
5420,20732
5421,4450
103726,5069
103728,13854
103729,20774
103733,20384
103736,15017
103737,33766
103738,0
103739,43819
103740,32978
5439,25729
5442,11065
5443,7870
5444,20794
5445,19223
5448,14636
103753,49149
103754,19986
5451,15319
103756,11314
5453,28000
103760,30780
5457,11569
5458,42856
5461,11877
103767,25755
103768,29134
103774,3693
103775,13642
103777,21699
103780,24630
103782,15630
5479,28000
5480,13982
103786,13982
5483,26487
103789,18246
5487,28000
103792,4888
5491,11566
5493,28000
5494,16280
103800,23431
103801,28000
5498,23022
5499,25729
5500,15697
5502,47109
103807,58865
5504,1119
5505,28000
5507,18226
103817,18977
5514,9368
103825,28000
103828,11548
103829,5144
5527,8899
5528,20643
103834,28690
103840,47789
103841,12574
5539,16775
5540,38646
5541,28000
103846,6249
5544,12329
5545,7870
103850,16149
5547,10280
103852,74200
5550,47109
5551,22064
5555,0
5565,19653
5566,41435
5568,33891
5571,23731
5641,33891
103877,19213
5577,19223
103882,12815
103886,2953
103887,22566
103888,14015
103891,12495
103892,28000
5593,15697
5594,22110
5597,47109
5598,15770
5599,14059
5602,30543
5607,28000
103914,3462
5613,11304
103918,27864
103919,60575
103920,69353
103922,76755
5621,9044
103926,38665
5624,13467
103931,11097
5631,36070
5632,9859
6400,33339
103938,15319
103939,47399
5638,12539
103943,62256
103944,24664
103945,60137
103946,7384
103947,35339
5644,27345
5647,10428
5648,49414
103953,12647
5650,16153
103955,17138
5652,28000
103957,2577
5656,20794
5657,34112
5658,75167
5659,2862
103964,0
5661,19045
5665,27705
5666,4859
103973,20646
5671,17397
5672,47768
5677,10428
5678,15319
6408,22110
5682,28000
5684,17397
5686,9458
104713,52943
5698,11456
6411,51764
5701,26805
5702,19653
5703,9224
5707,26487
5708,28000
5710,24226
5711,7914
5713,44415
5714,11065
5716,9578
104022,118099
5719,16280
5721,15017
5723,17777
5724,3993
104030,21810
6416,50919
5740,12329
5747,3993
5748,15017
5753,9316
5754,12643
5756,47789
6421,50419
5760,41491
5763,15339
104072,6276
5769,28000
104077,17912
5776,46943
5779,28000
5781,47109
5785,20847
5787,28000
5788,18375
5792,22412
5793,71546
5794,46501
6427,54484
5801,24920
5805,77473
5811,7914
5812,38646
5816,85235
5819,28000
104126,3843
5825,19986
5826,18667
5827,10360
5835,11566
5838,10523
5841,14403
5843,11569
5846,77473
5848,28000
104157,6181
104160,8303
5858,6150
5859,9316
5863,2862
5865,40726
5868,20643
104177,8688
104179,18509
5883,7914
5886,6185
5887,28000
5889,29754
104194,13193
5893,7411
104198,22539
5895,15501
104200,4526
104204,51048
5901,33849
5902,17396
104207,0
5904,17397
5905,8040
5906,18226
5907,16280
5909,22110
104217,25196
5917,14055
5918,14636
5919,20847
5921,25755
104228,8899
11910,15810
104230,14124
5927,51764
5932,24226
104238,40983
104241,33849
104242,0
5939,10428
5940,28000
104245,3736
5944,9859
104251,31641
5948,1119
5951,40564
5952,18667
104258,6130
5957,14014
104262,11569
5960,11456
5961,23677
104267,35339
104268,14766
5965,13526
5967,7452
5970,27345
5972,19859
5973,16998
5974,4450
5975,10360
5976,29754
5977,28000
5978,9044
104283,20577
104284,46501
5982,50919
104287,58867
5990,29315
5991,23111
104298,40575
104299,13161
104300,29787
5997,14059
5999,29315
104304,7635
6002,10430
104314,0
104315,1922
6012,28000
6014,14403
6021,24357
6022,28000
6027,28000
6033,10492
110405,28000
104346,33695
104351,0
6050,21699
6052,95884
6053,47768
6056,85235
6058,60575
104364,28000
6062,10492
6064,37065
6065,28000
6066,77473
104371,11058
6068,6150
104374,23358
6071,49375
6072,26805
6074,16215
6075,41435
6077,17397
6078,18295
6079,23677
6080,17777
6081,20732
6082,9044
6083,75167
6086,0
6094,28000
6095,33849
6097,11569
6099,4859
6101,28000
6103,4450
6105,43575
6106,15770
6107,13161
6108,19859
6112,13982
6116,14055
6118,28000
6120,21172
6122,15319
104435,36294
6133,10430
104443,35497
5660,11566
6145,49375
104451,22602
6148,25729
104456,75167
104464,4851
6161,9368
104471,4936
6168,44415
6171,11456
6176,27705
6182,41217
6184,20997
6187,23111
6188,6291
6192,22110
6199,36594
6200,33339
6206,29315
6207,14636
6208,3993
6211,28000
104518,0
6216,9578
6222,11877
6223,18860
6224,2818
6225,6291
104530,26805
6499,32933
6230,4876
6231,41165
104536,54114
6237,29627
6239,4859
6242,15017
6243,28000
6244,16280
6245,23431
6247,13526
104554,57543
6255,19859
6261,1119
104568,9134
104569,54484
104572,118099
6506,40726
6271,12495
6273,11456
6276,8899
6277,47789
6278,51057
110273,11625
6283,9316
6284,9343
6286,6291
6290,85235
6295,95884
6296,11314
6297,15697
104602,17358
6300,28000
6304,15339
104609,23731
6306,12565
6310,60575
6513,50419
6312,20847
6313,40564
6314,7914
6316,47768
6317,28000
6319,26805
6320,21172
6323,10428
104628,17357
6326,30543
6327,54484
104632,9961
6516,46943
104634,32392
6331,18854
104636,11712
6334,9961
104639,28000
6337,28000
104642,20847
104644,73440
6518,34402
104646,40984
104654,7181
104656,27345
104663,76226
104665,11043
6362,36070
104667,18645
6364,18463
6522,28000
104670,72054
6368,15319
110288,51057
6375,11314
6378,43575
6381,7914
6383,4000
6384,28000
104689,53383
104691,37775
6388,9961
6389,15697
104694,10678
6391,36070
6393,30887
104698,22719
6395,27345
104700,20898
6397,19986
104702,16875
104704,20732
6401,8110
104707,35174
6404,13982
6406,37065
104712,41593
6409,1119
6410,10523
104715,26335
6413,60575
6414,26805
104720,26204
6417,18295
104723,23183
6420,14833
104725,20767
6423,4859
6424,22412
6426,49375
104731,42458
6428,85235
6429,13526
104735,52143
104736,31504
104737,2577
104738,23416
11995,40984
6436,30887
6534,18295
6438,22110
104743,12923
104744,24407
104746,56623
6448,47789
104753,19258
104754,11115
104755,4697
6452,20997
6454,40564
104765,47472
6465,21172
104770,14300
104774,6983
12001,38550
6540,16215
6474,43575
12003,9437
104788,48870
104791,35323
6490,13381
6497,46822
6498,15573
104803,0
6500,28000
104805,8249
6502,16215
6503,15697
104809,38280
104810,72024
6509,10523
6510,26515
6511,23431
104817,4450
104819,80539
104820,19511
104821,33742
104822,13488
6519,4859
6520,13982
104825,24630
104826,36181
104827,14674
104828,11263
6525,47768
6526,38646
104831,11855
104832,66437
6529,28000
104834,22064
6531,24357
6532,9578
6533,23111
104838,20544
104844,55454
104846,13976
104848,13673
104851,12495
104852,41078
110318,52030
6550,23677
6551,19653
6553,77473
104859,65793
6558,15319
6561,28000
6562,8040
6555,7373
6565,43575
6566,20732
6567,28000
104873,12336
6570,7870
6571,36594
6573,12329
104879,50419
6576,47789
104881,13822
6578,28000
12019,15810
104886,29787
104887,18805
104888,7329
6586,18667
6587,15017
6588,27705
6589,29627
6590,17777
6593,74432
104898,34153
6598,18448
6599,14833
104905,10596
104906,75995
12023,0
6605,24831
104910,76755
6607,40564
6608,14055
6609,23431
104914,26697
6563,14014
104916,41973
6613,14833
6616,14403
6617,36070
6619,8899
6620,11304
104926,20767
104927,37124
6625,118099
104931,26799
6630,11566
6634,10430
104939,33742
104943,30584
104944,10295
104945,18226
104948,10007
12030,31782
104952,26089
104953,40726
104955,33101
6652,19653
104874,26390
6657,12495
6659,28000
6663,23677
104970,11855
6668,6291
6669,20794
6670,13526
104975,28000
6674,15319
6675,13467
104981,31246
6678,20732
6679,19986
104984,39226
6681,51764
6682,24920
6685,20455
6686,8040
104991,9850
6688,41165
6689,36594
6692,15339
12038,29886
104999,28000
6696,15610
6697,28000
6698,46501
6699,23431
6700,15143
105005,28568
6702,8040
105007,28000
105008,57680
6706,18854
6579,0
6708,7452
6709,23677
6710,28000
105015,50419
6712,9981
6713,18295
6714,51764
6715,34455
6716,32933
105022,38463
105023,20505
105024,28000
105025,33339
105026,44840
105027,19971
6724,40564
6582,19064
6726,29315
105031,75314
105033,21905
6583,27345
6732,19064
6733,33339
6735,50419
105043,43056
6743,50309
6745,8040
105052,36764
6749,32014
6750,54484
105056,33695
105057,57351
6754,18854
105059,28000
105062,18509
105064,26805
104892,4819
105067,21172
6768,15610
105074,47214
105077,18464
105079,75403
105083,34481
105084,24407
6781,15064
105088,67087
6792,13381
6793,76727
105098,26868
6796,13229
6797,24479
6799,63664
105105,37065
105106,9812
6803,53383
6805,18667
105110,51057
105111,12334
6808,39246
105113,82821
105114,48963
105115,13854
105121,9224
6819,6535
105127,130943
6825,20532
105130,15767
105131,30111
105133,28000
105134,21851
6832,17943
105137,10596
105139,49375
105141,49414
6838,15064
6839,24479
105145,17347
6842,9572
105148,24479
6849,24479
6850,6535
6851,15677
6853,19855
6854,18448
6857,2294
6860,19776
105165,0
6862,15459
6863,15677
105168,74200
105173,13526
105175,28568
105176,70181
105177,43430
6874,19064
6878,17526
104912,49054
6882,33491
