id,question,user,position,answer,,AvgUserPos,AvgQuestPos,RoundPos
48,42,3,-35,hay wain,,85.0,66.0,-40.0
50,44,3,46,chagall,,85.0,46.0,50.0
51,46,30,77,Rubens,,86.0,77.0,80.0
52,46,9,77,rubens,,83.0,77.0,80.0
53,46,31,77,rubens,,98.0,77.0,80.0
54,49,32,11,olympia,,25.0,51.0,10.0
55,49,33,28,Olympia,,78.0,51.0,30.0
57,49,26,53,olympia,,94.0,51.0,50.0
58,49,34,70,olympia,,77.0,51.0,70.0
59,49,35,-76,venus,,100.0,51.0,-80.0
60,49,36,12,olympia,,22.0,51.0,10.0
61,49,37,76,olympia,,108.0,51.0,80.0
62,49,1,76,olympia,,97.0,51.0,80.0
64,49,38,76,Olympia,,90.0,51.0,80.0
65,49,9,16,olympia,,83.0,51.0,20.0
66,49,39,-76,Nude Descending a Staircase,,105.0,51.0,-80.0
67,49,40,76,olympia,,64.0,51.0,80.0
68,49,41,16,olympia,,82.0,51.0,20.0
69,49,42,45,olympia,,81.0,51.0,50.0
71,5470,10,40,a hero of our time,,81.0,31.0,40.0
72,5470,31,21,a hero of our time,,98.0,31.0,20.0
73,61,24,143,courbet,,85.0,146.0,140.0
74,61,29,148,Courbet,,105.0,146.0,150.0
75,5473,28,17,middlemarch,,80.0,21.0,20.0
76,5473,23,25,middlemarch,,58.0,21.0,30.0
78,6549,44,129,a room with a view,,103.0,107.0,130.0
79,6549,14,112,A Room with a View,,84.0,107.0,110.0
80,6549,12,25,A Room with a view,,85.0,107.0,30.0
81,6549,28,96, room with a view,,80.0,107.0,100.0
82,6549,45,41,Room with a view,,75.0,107.0,40.0
83,6549,13,-129,howard's end,,86.0,107.0,-130.0
85,6549,47,-129,howard's end,,100.0,107.0,-130.0
86,6549,35,129,a room with a view,,100.0,107.0,130.0
87,6549,48,129,room with a view,,93.0,107.0,130.0
88,6549,49,-126,The Light in the Piazza,,97.0,107.0,-130.0
89,6549,50,-129,G,,100.0,107.0,-130.0
90,79,18,77,cole,,91.0,51.0,80.0
92,79,22,53,cole,,66.0,51.0,50.0
93,79,52,9,cole,,34.0,51.0,10.0
94,79,53,-12,poop,,104.0,51.0,-10.0
95,79,26,93,cole,,94.0,51.0,90.0
96,79,9,19,cole,,83.0,51.0,20.0
97,79,47,-93,Millet,,100.0,51.0,-90.0
99,81,19,78,delacroix,,104.0,63.0,80.0
100,81,23,37,delacroix,,58.0,63.0,40.0
101,81,54,61,delacroix,,93.0,63.0,60.0
102,81,14,77,Delacroix,,84.0,63.0,80.0
103,81,55,69,delacroix,,94.0,63.0,70.0
104,81,16,40,delacroiz,,77.0,63.0,40.0
106,81,32,15,delacroix,,25.0,63.0,20.0
107,81,56,78,delacroix,,94.0,63.0,80.0
108,81,25,28,Delacroix,,67.0,63.0,30.0
109,81,57,78,Delacroix,,99.0,63.0,80.0
110,81,58,-55,gauguin,,88.0,63.0,-60.0
111,81,59,71,de la croix,,92.0,63.0,70.0
113,81,61,66,delacroix,,92.0,63.0,70.0
114,81,62,62,delacroix,,84.0,63.0,60.0
115,81,63,77,delacroix,,98.0,63.0,80.0
116,81,7,56,Delacroix,,97.0,63.0,60.0
117,81,41,39,delacroix,,82.0,63.0,40.0
118,81,64,78,Delacroix,,98.0,63.0,80.0
120,81,15,77,delacroix,,94.0,63.0,80.0
121,81,27,-69,el greco,,100.0,63.0,-70.0
122,81,65,78,delacroix,,97.0,63.0,80.0
123,81,66,78,delacroix,,105.0,63.0,80.0
124,81,17,73,delocroix,,91.0,63.0,70.0
125,81,67,68,delacroix,,91.0,63.0,70.0
127,81,8,-69,brunelleschi,,93.0,63.0,-70.0
128,81,69,50,delacroix,,82.0,63.0,50.0
129,81,31,69,delacroix,,98.0,63.0,70.0
130,82,28,102,isenheim altarpiece,,80.0,94.0,100.0
131,82,0,102,isenheim altarpiece,,80.0,94.0,100.0
132,82,27,-77,grunewald alterpiece,,100.0,94.0,-80.0
134,83,14,-100,Matisse,,84.0,92.0,-100.0
135,83,20,99,rousseau,,95.0,92.0,100.0
136,83,9,68,rousseau,,83.0,92.0,70.0
137,83,12,-100,matisse,,85.0,92.0,-100.0
138,87,54,89,the swing,,93.0,81.0,90.0
139,87,70,106,the swing,,101.0,81.0,110.0
141,87,49,96,The Swing,,97.0,81.0,100.0
142,87,9,31,The Swing,,83.0,81.0,30.0
143,90,9,113,matisse,,83.0,96.0,110.0
144,90,71,90,Matisse,,82.0,96.0,90.0
145,90,29,113,Matisse,,105.0,96.0,110.0
146,90,43,113,matisse,,92.0,96.0,110.0
148,90,1,109,matisse,,97.0,96.0,110.0
149,90,42,39,matisse,,81.0,96.0,40.0
150,91,72,119,Renoir,,103.0,82.0,120.0
151,91,9,25,renoir,,83.0,82.0,30.0
152,91,5,119,renoir,,100.0,82.0,120.0
153,91,49,119,Renoir,,97.0,82.0,120.0
155,91,9,26,renoir,,83.0,82.0,30.0
156,93,9,-117,romeo and juliet,,83.0,107.0,-120.0
157,93,24,117,the tempest,,85.0,107.0,120.0
158,93,42,77,tempest,,81.0,107.0,80.0
159,93,27,117,the tempest,,100.0,107.0,120.0
160,94,9,77,the kiss,,83.0,80.0,80.0
162,94,23,73,kiss,,58.0,80.0,70.0
163,94,62,93,the kiss,,84.0,80.0,90.0
164,94,60,90,kiss,,85.0,80.0,90.0
165,94,64,67,the kiss,,98.0,80.0,70.0
166,96,73,98,the kiss,,92.0,95.0,100.0
167,96,42,92,the kiss,,81.0,95.0,90.0
169,99,42,91,"venus, cupid, folly, and time",,81.0,91.0,90.0
170,102,9,88,tribute money,,83.0,93.0,90.0
171,102,28,97,tribute money,,80.0,93.0,100.0
172,114,74,-71, Ghent Altarpiece,,81.0,83.0,-70.0
173,114,14,83,The Garden of Earthly delights,,84.0,83.0,80.0
174,114,30,-68,Ghent Altarpiece,,86.0,83.0,-70.0
176,114,75,118,garden of earthly delights,,102.0,83.0,120.0
177,114,76,62,garden of earthly delights,,92.0,83.0,60.0
178,114,77,-99,isenheim,,74.0,83.0,-100.0
179,114,41,71,garden of earthly delights,,82.0,83.0,70.0
180,114,78,73,the garden of earthly delights,,76.0,83.0,70.0
181,114,45,-118,Garden of Love,,75.0,83.0,-120.0
183,114,80,72,garden of earthly delights,,75.0,83.0,70.0
184,114,81,118,Garden of Earthly Delights,,104.0,83.0,120.0
185,114,82,101,The Garden of Earthly Delights,,110.0,83.0,100.0
186,114,83,118,Garden of Earthly Delights,,104.0,83.0,120.0
187,114,38,29,The Garden of Earthly Delights,,90.0,83.0,30.0
188,114,42,74,garden of earthly delights,,81.0,83.0,70.0
190,114,67,88,the garden of earthly delights,,91.0,83.0,90.0
191,114,50,81,garden of earthly delights,,100.0,83.0,80.0
192,114,85,118,garden of earthly delights,,87.0,83.0,120.0
193,114,86,61,Garden of Earthly Delights,,70.0,83.0,60.0
194,114,87,-46,las meninas,,83.0,83.0,-50.0
195,118,9,39,hals,,83.0,39.0,40.0
197,119,9,18,sargent,,83.0,63.0,20.0
198,119,71,88,Singer-Sargent,,82.0,63.0,90.0
199,119,43,86,sargent,,92.0,63.0,90.0
200,119,3,61,sargent,,85.0,63.0,60.0
201,5482,43,-81,the garden party,,92.0,81.0,-80.0
202,128,23,39,hopper,,58.0,47.0,40.0
204,128,88,61,hopper,,105.0,47.0,60.0
205,128,42,42,hopper,,81.0,47.0,40.0
206,128,27,39,hopper,,100.0,47.0,40.0
207,128,33,55,Hopper,,78.0,47.0,60.0
208,132,24,104,botticelli,,85.0,108.0,100.0
209,132,30,111,Botticelli,,86.0,108.0,110.0
211,132,71,108,Botticelli,,82.0,108.0,110.0
212,132,30,111,Botticelli,,86.0,108.0,110.0
213,132,62,111,botticelli,,84.0,108.0,110.0
214,132,42,105,botticelli,,81.0,108.0,110.0
215,132,10,108,botticelli,,81.0,108.0,110.0
216,133,30,77,School of Athens,,86.0,64.0,80.0
218,133,43,51,school of athens,,92.0,64.0,50.0
219,135,18,30,potato eaters,,91.0,72.0,30.0
220,135,44,99,potato eaters,,103.0,72.0,100.0
221,135,19,95,the potato eaters,,104.0,72.0,100.0
222,135,21,27,Potato Eaters,,81.0,72.0,30.0
223,135,24,58,potato eaters,,85.0,72.0,60.0
225,135,9,-18,time transfixed,,83.0,72.0,-20.0
226,135,59,-81,night hawks,,92.0,72.0,-80.0
227,135,89,98,the potato eaters,,100.0,72.0,100.0
228,135,12,99,the potato eaters,,85.0,72.0,100.0
229,135,63,99,the potato eaters,,98.0,72.0,100.0
230,135,90,98,potato eaters,,89.0,72.0,100.0
232,135,91,27,potato eaters,,71.0,72.0,30.0
233,135,92,74,potato eaters,,104.0,72.0,70.0
234,135,43,-76,Belshazzar's Feast,,92.0,72.0,-80.0
235,135,64,-99,turnip-eaters,,98.0,72.0,-100.0
236,135,81,99,Potato eaters,,104.0,72.0,100.0
237,135,75,99,potato eaters,,102.0,72.0,100.0
239,135,27,-46,vermeer,,100.0,72.0,-50.0
240,135,93,-33,night cafe,,64.0,72.0,-30.0
241,135,39,-78,Hilanderas,,105.0,72.0,-80.0
242,135,94,-47,Nighthawks,,96.0,72.0,-50.0
243,135,17,76,the potato eaters,,91.0,72.0,80.0
244,135,95,90,the potato eaters,,112.0,72.0,90.0
246,139,33,20,El Greco,,78.0,71.0,20.0
247,139,58,-57,parmagianino,,88.0,71.0,-60.0
248,139,62,-56,tintoretto,,84.0,71.0,-60.0
249,139,37,92,el greco,,108.0,71.0,90.0
250,139,96,83,el greco,,88.0,71.0,80.0
251,139,97,97,el greco,,93.0,71.0,100.0
253,139,27,-60,tintoretto,,100.0,71.0,-60.0
254,139,99,100,el greco,,112.0,71.0,100.0
255,147,49,83,The Potato Eaters,,97.0,71.0,80.0
256,147,71,53,Potato Eaters,,82.0,71.0,50.0
257,147,72,108,Potato Eaters,,103.0,71.0,110.0
258,147,25,28,Potato Eaters ,,67.0,71.0,30.0
260,147,100,-86,at the moulin rouge,,80.0,71.0,-90.0
261,147,4,112,potato eaters,,103.0,71.0,110.0
262,147,15,62,the potato eaters,,94.0,71.0,60.0
263,147,9,-29,potato easters,,83.0,71.0,-30.0
264,147,101,19,the potato eaters,,84.0,71.0,20.0
265,147,50,67,potato eaters,,100.0,71.0,70.0
267,147,8,-112,cafe terrace at night,,93.0,71.0,-110.0
268,147,40,94,potato eaters,,64.0,71.0,90.0
269,150,51,95,watson and the shark,,89.0,70.0,100.0
270,150,54,-36,the arnolfini wedding,,93.0,70.0,-40.0
271,150,22,58,watson and the shark,,66.0,70.0,60.0
272,150,14,74,Watson and the Shark,,84.0,70.0,70.0
274,150,28,77,watson and  the shark,,80.0,70.0,80.0
275,150,0,61,watson and the shark,,80.0,70.0,60.0
276,150,29,95,Sharks,,105.0,70.0,100.0
277,150,98,67,Watson and the shark,,102.0,70.0,70.0
278,156,103,88,the garden of earthly delights,,73.0,64.0,90.0
279,156,18,34,garden of earthly delightss,,91.0,64.0,30.0
281,156,61,83,the garden of earthly delights,,92.0,64.0,80.0
282,156,96,36,garden of earthly delights,,88.0,64.0,40.0
283,156,71,39,The Garden of Earthly Delights,,82.0,64.0,40.0
284,156,104,35,garden of earthly delights,,80.0,64.0,40.0
285,156,57,70,Garden of earthly Delights,,99.0,64.0,70.0
286,156,25,20,Garden of Earthly Delights,,67.0,64.0,20.0
288,156,94,109,The Garden of Earthly Delights,,96.0,64.0,110.0
289,156,11,-62,ghent alterpiece,,89.0,64.0,-60.0
290,156,63,-50,ghent altarpiece,,98.0,64.0,-50.0
291,156,90,45,garden of earthly delights,,89.0,64.0,50.0
292,156,39,109,Garden of Earthly Delights,,105.0,64.0,110.0
293,156,105,19,garden of earthly delights,,58.0,64.0,20.0
295,156,64,109,The Garden of Earthly Delights,,98.0,64.0,110.0
296,156,15,109,garden of earthly delights,,94.0,64.0,110.0
297,156,107,26,The Garden of Earthly Delights,,98.0,64.0,30.0
298,156,108,109,garden of earthly delights,,104.0,64.0,110.0
299,156,109,23,The Garden of Earthly Delights,,85.0,64.0,20.0
300,156,110,72,gardem of earthly delights,,101.0,64.0,70.0
302,156,17,76,the garden of earthly delights,,91.0,64.0,80.0
303,156,102,75,garden of earthly delights,,83.0,64.0,80.0
304,159,30,32,Bacon,,86.0,53.0,30.0
305,159,111,89,Bacon,,91.0,53.0,90.0
306,159,9,-39,duchamp,,83.0,53.0,-40.0
307,162,19,-87,bauhaus,,104.0,87.0,-90.0
309,10950,18,-85,ricardo,,91.0,85.0,-90.0
310,10950,17,-85,Mill,,91.0,85.0,-90.0
311,167,13,99,cole,,86.0,88.0,100.0
312,167,24,99,cole,,85.0,88.0,100.0
313,167,25,55,Cole,,67.0,88.0,60.0
314,167,29,-99,Copeland,,105.0,88.0,-100.0
316,168,24,28,raft of the medusa,,85.0,50.0,30.0
317,168,71,74,The Raft of the Medusa,,82.0,50.0,70.0
318,168,9,54,raft of the medusa,,83.0,50.0,50.0
319,168,9,40,raft of the medusa,,83.0,50.0,40.0
320,168,9,15,raft of the medusa,,83.0,50.0,20.0
321,168,27,87,raft of the medusa,,100.0,50.0,90.0
323,171,9,-15,rembrandt,,83.0,35.0,-20.0
324,171,9,10,donatello,,83.0,35.0,10.0
325,171,113,87,Donatello,,88.0,35.0,90.0
326,171,27,28,donatello,,100.0,35.0,30.0
327,178,51,91,las meninas,,89.0,76.0,90.0
328,178,30,73,Las Meninas,,86.0,76.0,70.0
330,178,53,-102,reshyrt  ,,104.0,76.0,-100.0
331,178,60,91,las meninas,,85.0,76.0,90.0
332,178,64,93,las meninas,,98.0,76.0,90.0
333,178,114,38,las meninas,,86.0,76.0,40.0
334,178,47,80,las meninas,,100.0,76.0,80.0
335,178,27,41,las meninas,,100.0,76.0,40.0
337,182,44,-58,El Greco,,103.0,58.0,-60.0
338,182,103,66,delacroix,,73.0,58.0,70.0
339,182,115,55,delacroix,,99.0,58.0,60.0
340,182,49,59,Delacroix,,97.0,58.0,60.0
341,182,20,55,delacroix,,95.0,58.0,60.0
342,182,33,52,delacroix,,78.0,58.0,50.0
344,182,0,54,delacroix,,80.0,58.0,50.0
345,182,25,54,Delacroix,,67.0,58.0,50.0
346,182,117,61,delacroix,,90.0,58.0,60.0
347,182,11,56,delacroix,,89.0,58.0,60.0
348,182,90,66,delacroix,,89.0,58.0,70.0
349,182,118,52,delacroix,,89.0,58.0,50.0
351,182,29,56,Delacroix,,105.0,58.0,60.0
352,182,106,-66,i forget,,112.0,58.0,-70.0
353,182,100,51,delacroix,,80.0,58.0,50.0
354,182,100,50,delacroix,,80.0,58.0,50.0
355,182,3,-34,Duchamp,,85.0,58.0,-30.0
356,182,43,56,delacroix,,92.0,58.0,60.0
358,182,119,61,delacroix,,93.0,58.0,60.0
359,182,81,66,Delecroix,,104.0,58.0,70.0
360,182,5,64,Delacroix,,100.0,58.0,60.0
361,182,47,53,delacroix,,100.0,58.0,50.0
362,182,9,54,delacroix,,83.0,58.0,50.0
363,182,5,56,delacroix,,100.0,58.0,60.0
365,182,120,66,delacroix,,91.0,58.0,70.0
366,182,31,66,delacroix,,98.0,58.0,70.0
367,182,121,64,dellacroix,,106.0,58.0,60.0
368,182,8,58,delacroix,,93.0,58.0,60.0
369,182,95,66,delacroix,,112.0,58.0,70.0
370,185,14,59,Chrstina's World,,84.0,79.0,60.0
372,185,89,-89,christina,,100.0,79.0,-90.0
373,185,30,63,Christina's World,,86.0,79.0,60.0
374,185,47,83,christina's world,,100.0,79.0,80.0
375,185,50,89,Christina's world,,100.0,79.0,90.0
376,185,51,89,christina's world,,89.0,79.0,90.0
377,186,0,-52,pontormo,,80.0,42.0,-50.0
379,186,9,48,poussin,,83.0,42.0,50.0
380,186,9,25,poussin,,83.0,42.0,30.0
381,187,52,82,klimpt,,34.0,78.0,80.0
382,187,89,82,klimt,,100.0,78.0,80.0
383,187,29,-82,Rodin,,105.0,78.0,-80.0
384,187,9,82,klimpt,,83.0,78.0,80.0
386,187,4,82,klimt,,103.0,78.0,80.0
387,187,49,82,Klimt,,97.0,78.0,80.0
388,187,122,82,klimt,,89.0,78.0,80.0
389,187,75,82,klimt,,102.0,78.0,80.0
390,187,123,-82,brancuzi,,101.0,78.0,-80.0
391,187,6,42,klimt,,66.0,78.0,40.0
393,187,115,82,klimt,,99.0,78.0,80.0
394,191,54,77,death of socrates,,93.0,62.0,80.0
395,191,52,21,death of socrates,,34.0,62.0,20.0
396,191,20,-43,calling of saint matthew,,95.0,62.0,-40.0
397,191,28,37,death of socrates,,80.0,62.0,40.0
398,191,51,121,death of socrates,,89.0,62.0,120.0
400,191,20,71,death of socrates,,95.0,62.0,70.0
401,196,52,32,velazquez,,34.0,73.0,30.0
402,196,73,100,Velasquez,,92.0,73.0,100.0
403,196,98,91,velasquez,,102.0,73.0,90.0
404,196,9,56,velazquez,,83.0,73.0,60.0
405,196,3,87,velasquez,,85.0,73.0,90.0
407,204,62,99,death of socrates,,84.0,85.0,100.0
408,204,43,-99,death of sophocles,,92.0,85.0,-100.0
409,204,3,-29,death of general wolfe,,85.0,85.0,-30.0
410,204,42,75,death of socrates,,81.0,85.0,80.0
411,204,9,99,death of sorates,,83.0,85.0,100.0
412,204,115,98,death of socrates,,99.0,85.0,100.0
414,204,124,99,death of socrates,,108.0,85.0,100.0
415,5496,30,18,Great Expectations,,86.0,35.0,20.0
416,5496,28,13,great expectations,,80.0,35.0,10.0
417,5496,62,-48,david copperfield,,84.0,35.0,-50.0
418,5496,14,15,Great Expectation,,84.0,35.0,20.0
419,5496,64,82,great expectations,,98.0,35.0,80.0
421,5497,51,-96,imaginary invalid,,89.0,81.0,-100.0
422,5497,21,-96,imaginary invalid,,81.0,81.0,-100.0
423,5497,125,-58,tartuffe,,63.0,81.0,-60.0
424,5497,16,96,the misanthrope,,77.0,81.0,100.0
425,5497,24,-44,tartuffe,,85.0,81.0,-40.0
426,5497,72,96,misanthrope,,103.0,81.0,100.0
428,5497,94,-96,Tartuff,,96.0,81.0,-100.0
429,5497,78,-26,tartuffe,,76.0,81.0,-30.0
430,5497,46,45,the misanthrope,,69.0,81.0,50.0
431,5497,120,96,the misanthrope,,91.0,81.0,100.0
432,5497,121,-96,i have no friggin clue,,106.0,81.0,-100.0
433,5497,127,-96,tartuffe,,110.0,81.0,-100.0
435,5497,128,-96,j'accuse,,98.0,81.0,-100.0
436,5497,71,96,The Misanthrope,,82.0,81.0,100.0
437,217,9,78,tribute money,,83.0,78.0,80.0
438,218,9,92,ghent altarpiece,,83.0,92.0,90.0
439,219,20,99,las meninas,,95.0,89.0,100.0
440,219,0,100,las meninas,,80.0,89.0,100.0
442,219,3,104,las meninans,,85.0,89.0,100.0
443,219,9,63,las meninas,,83.0,89.0,60.0
444,219,122,70,las menias,,89.0,89.0,70.0
445,219,35,100,las meninas,,100.0,89.0,100.0
446,222,9,10,the ambassadors,,83.0,10.0,10.0
447,223,98,98,Gericault,,102.0,98.0,100.0
449,224,73,83,view of delf,,92.0,76.0,80.0
450,224,24,78,view of delft,,85.0,76.0,80.0
451,224,9,83,view of delft,,83.0,76.0,80.0
452,224,9,58,view of delft,,83.0,76.0,60.0
453,224,42,83,view of delft,,81.0,76.0,80.0
454,224,98,70,view of delft,,102.0,76.0,70.0
456,233,73,-105,Trumbull,,92.0,89.0,-110.0
457,233,60,112,copley,,85.0,89.0,110.0
458,233,9,88,copley,,83.0,89.0,90.0
459,233,10,-90,west,,81.0,89.0,-90.0
460,233,33,-50,Stuart,,78.0,89.0,-50.0
461,236,18,88,munch,,91.0,84.0,90.0
463,236,73,-48,rembrandt,,92.0,84.0,-50.0
464,236,3,-63,courbet,,85.0,84.0,-60.0
465,236,1,-97,matisse,,97.0,84.0,-100.0
466,236,47,124,munch,,100.0,84.0,120.0
467,236,27,-44,van gogh,,100.0,84.0,-40.0
468,236,62,124,munch,,84.0,84.0,120.0
470,237,18,52,las meninas,,91.0,32.0,50.0
471,237,22,46,las meninas,,66.0,32.0,50.0
472,237,23,-29,laughing cavalier,,58.0,32.0,-30.0
473,237,9,14,las meninas,,83.0,32.0,10.0
474,237,9,20,las meninas,,83.0,32.0,20.0
475,241,98,121,poussin,,102.0,121.0,120.0
477,244,18,113,olympia,,91.0,95.0,110.0
478,244,72,-113,madame x,,103.0,95.0,-110.0
479,244,52,61,olympia,,34.0,95.0,60.0
480,244,29,108,Olympia,,105.0,95.0,110.0
481,244,129,113,olympia,,102.0,95.0,110.0
482,244,119,90,olympia,,93.0,95.0,90.0
484,244,9,65,olympia,,83.0,95.0,70.0
485,246,9,83,chagall,,83.0,88.0,80.0
486,246,30,92,Chagall,,86.0,88.0,90.0
487,256,54,45,the hay wain,,93.0,81.0,50.0
488,256,19,86,the hay wain,,104.0,81.0,90.0
489,256,73,102,The Hay Wain,,92.0,81.0,100.0
491,256,71,98,The Hay Wain,,82.0,81.0,100.0
492,256,60,102,hay wain,,85.0,81.0,100.0
493,256,47,-52,the garden of earthly delights,,100.0,81.0,-50.0
494,256,3,100,hay wain,,85.0,81.0,100.0
495,256,42,90,hay wain,,81.0,81.0,90.0
496,256,17,-52,the garden of earthly delights,,91.0,81.0,-50.0
498,257,60,63,watson and the shark,,85.0,77.0,60.0
499,257,11,72,sharks,,89.0,77.0,70.0
500,257,1,107,watson and the shark,,97.0,77.0,110.0
501,257,42,65,watson and the shark,,81.0,77.0,70.0
502,264,28,21,raft of the medusa,,80.0,67.0,20.0
503,264,98,113,the raft of the medusa,,102.0,67.0,110.0
505,265,70,87,las meninas,,101.0,86.0,90.0
506,265,42,79,las meninas,,81.0,86.0,80.0
507,265,31,92,las meninas,,98.0,86.0,90.0
508,270,74,122,titian,,81.0,72.0,120.0
509,270,112,-31,durer,,76.0,72.0,-30.0
510,270,54,-47,durer,,93.0,72.0,-50.0
512,270,77,-32,durer,,74.0,72.0,-30.0
513,270,104,108,titian,,80.0,72.0,110.0
514,270,58,-107,aphael,,88.0,72.0,-110.0
515,270,126,-16,Durer,,78.0,72.0,-20.0
516,270,36,15,titian,,22.0,72.0,20.0
517,270,117,-19,durer,,90.0,72.0,-20.0
519,270,62,-14,hokusai,,84.0,72.0,-10.0
520,270,29,-17,Durer,,105.0,72.0,-20.0
521,270,64,148,Titian,,98.0,72.0,150.0
522,270,122,-30,durer,,89.0,72.0,-30.0
523,270,81,131,Titian,,104.0,72.0,130.0
524,270,82,-148,Botticelli,,110.0,72.0,-150.0
526,270,27,-148,raphael,,100.0,72.0,-150.0
527,270,17,-15,durer,,91.0,72.0,-20.0
528,270,8,148,titian,,93.0,72.0,150.0
529,271,54,-79,sophie's world,,93.0,86.0,-80.0
530,271,30,92,Christina's World,,86.0,86.0,90.0
531,271,20,78,christina's world,,95.0,86.0,80.0
533,271,3,92,christina's world,,85.0,86.0,90.0
534,271,43,83,christina's world,,92.0,86.0,80.0
535,271,122,87,christina's world,,89.0,86.0,90.0
536,271,130,92,christina's world,,91.0,86.0,90.0
537,272,18,124,veronese,,91.0,108.0,120.0
538,272,24,108,veronese,,85.0,108.0,110.0
540,272,25,105,Veronese,,67.0,108.0,110.0
541,272,29,-124,da Vinci,,105.0,108.0,-120.0
542,272,91,104,veronese,,71.0,108.0,100.0
543,272,114,-80,giotto,,86.0,108.0,-80.0
544,273,18,-122,manet,,91.0,89.0,-120.0
545,273,23,76,cezanne,,58.0,89.0,80.0
547,273,9,-122,watteau,,83.0,89.0,-120.0
548,273,19,-122,manet,,104.0,89.0,-120.0
549,273,24,119,cezanne,,85.0,89.0,120.0
550,273,20,58,cezanne,,95.0,89.0,60.0
551,273,28,78,cezanne,,80.0,89.0,80.0
552,273,14,-89,Gaugin,,84.0,89.0,-90.0
554,273,33,74,Cezanne,,78.0,89.0,70.0
555,273,71,75,Cezanne,,82.0,89.0,80.0
556,273,62,-86,hokusai,,84.0,89.0,-90.0
557,273,60,76,cezanne,,85.0,89.0,80.0
558,273,10,76,cezanne,,81.0,89.0,80.0
559,273,98,122,cezanne,,102.0,89.0,120.0
561,273,1,-92,cezenne,,97.0,89.0,-90.0
562,273,3,75,cezanne,,85.0,89.0,80.0
563,273,115,76,cezanne,,99.0,89.0,80.0
564,273,122,-61,matisse,,89.0,89.0,-60.0
565,278,9,141,rousseau,,83.0,141.0,140.0
566,278,9,140,rousseau,,83.0,141.0,140.0
568,280,52,85,venice,,34.0,75.0,90.0
569,280,42,-64,paris,,81.0,75.0,-60.0
570,285,51,-99,birth of venus,,89.0,105.0,-100.0
571,285,13,136,the swing,,86.0,105.0,140.0
572,285,28,129,the swing,,80.0,105.0,130.0
573,285,0,28,the swing,,80.0,105.0,30.0
575,285,116,136,the swing,,84.0,105.0,140.0
576,285,9,68,the swing,,83.0,105.0,70.0
577,285,2,136,The Swing,,99.0,105.0,140.0
578,286,28,124,venus of urbino,,80.0,124.0,120.0
579,289,9,86,the nightmare,,83.0,92.0,90.0
580,289,64,97,the nightmare,,98.0,92.0,100.0
582,293,24,-63,gainsborough,,85.0,102.0,-60.0
583,293,14,115,Constable,,84.0,102.0,120.0
584,293,60,-91,reynolds,,85.0,102.0,-90.0
585,293,129,115,constable,,102.0,102.0,120.0
586,293,27,-115,cole,,100.0,102.0,-120.0
587,293,115,113,constable,,99.0,102.0,110.0
589,296,58,151,olympia,,88.0,132.0,150.0
590,296,25,91,Olympia,,67.0,132.0,90.0
591,296,12,-151,the grand odalisque,,85.0,132.0,-150.0
592,296,0,117,olympia,,80.0,132.0,120.0
593,296,131,-151,venus of urbino,,99.0,132.0,-150.0
594,296,5,142,olympia,,100.0,132.0,140.0
596,296,112,146,olympia,,76.0,132.0,150.0
597,296,115,-105,madame x,,99.0,132.0,-110.0
