id,question,user,position,answer
506,265,42,79.0,las meninas
507,265,31,92.0,las meninas
508,270,74,122.0,titian
509,270,112,-31.0,durer
510,270,54,-47.0,durer
512,270,77,-32.0,durer
513,270,104,108.0,titian
514,270,58,-107.0,aphael
515,270,126,-16.0,Durer
516,270,36,15.0,titian
517,270,117,-19.0,durer
519,270,62,-14.0,hokusai
520,270,29,-17.0,Durer
521,270,64,148.0,Titian
522,270,122,-30.0,durer
523,270,81,131.0,Titian
524,270,82,-148.0,Botticelli
526,270,27,-148.0,raphael
527,270,17,-15.0,durer
528,270,8,148.0,titian
529,271,54,-79.0,sophie's world
530,271,30,92.0,Christina's World
531,271,20,78.0,christina's world
533,271,3,92.0,christina's world
534,271,43,83.0,christina's world
535,271,122,87.0,christina's world
536,271,130,92.0,christina's world
537,272,18,124.0,veronese
538,272,24,108.0,veronese
540,272,25,105.0,Veronese
541,272,29,-124.0,da Vinci
542,272,91,104.0,veronese
543,272,114,-80.0,giotto
544,273,18,-122.0,manet
545,273,23,76.0,cezanne
547,273,9,-122.0,watteau
548,273,19,-122.0,manet
549,273,24,119.0,cezanne
550,273,20,58.0,cezanne
551,273,28,78.0,cezanne
552,273,14,-89.0,Gaugin
554,273,33,74.0,Cezanne
555,273,71,75.0,Cezanne
556,273,62,-86.0,hokusai
557,273,60,76.0,cezanne
558,273,10,76.0,cezanne
559,273,98,122.0,cezanne
561,273,1,-92.0,cezenne
562,273,3,75.0,cezanne
563,273,115,76.0,cezanne
564,273,122,-61.0,matisse
565,278,9,141.0,rousseau
566,278,9,140.0,rousseau
568,280,52,85.0,venice
569,280,42,-64.0,paris
570,285,51,-99.0,birth of venus
571,285,13,136.0,the swing
572,285,28,129.0,the swing
573,285,0,28.0,the swing
575,285,116,136.0,the swing
576,285,9,68.0,the swing
577,285,2,136.0,The Swing
578,286,28,124.0,venus of urbino
579,289,9,86.0,the nightmare
580,289,64,97.0,the nightmare
582,293,24,-63.0,gainsborough
583,293,14,115.0,Constable
584,293,60,-91.0,reynolds
585,293,129,115.0,constable
586,293,27,-115.0,cole
587,293,115,113.0,constable
589,296,58,151.0,olympia
590,296,25,91.0,Olympia
591,296,12,-151.0,the grand odalisque
592,296,0,117.0,olympia
593,296,131,-151.0,venus of urbino
594,296,5,142.0,olympia
596,296,112,146.0,olympia
597,296,115,-105.0,madame x
598,296,101,137.0,olympia
599,300,21,53.0,Brancusi
600,300,9,28.0,brancusi
601,300,29,-144.0,Rodin
603,300,4,-143.0,rodin
604,300,9,17.0,brancusi
605,300,50,144.0,Brancusi
606,300,42,63.0,brancusi
607,308,20,148.0,gainsborough
608,308,98,-148.0,reynolds
610,308,3,-118.0,sargent
611,321,30,82.0,The Kiss
612,321,19,-98.0,klimt
613,321,71,100.0,The Kiss
614,321,27,106.0,the kiss
615,321,3,111.0,the kiss
617,329,33,-115.0,Rossetti
618,329,11,-115.0,waterhouse
619,329,114,100.0,millais
620,329,9,115.0,millais
621,329,9,44.0,Millais
622,333,23,53.0,swing
624,333,29,112.0,The Swing
625,333,60,-57.0,french ambassadors
626,333,9,59.0,the swing
627,333,35,109.0,the swing
628,333,98,122.0,the swing
629,333,64,73.0,the swing
631,334,20,-65.0,ensor
632,334,9,117.0,orosco
633,334,43,-117.0,rivera
634,342,24,64.0,bacon
635,342,28,-77.0,duchamp
636,348,52,95.0,duchamp
638,348,19,58.0,duchamp
639,348,60,106.0,duchamp
640,348,9,58.0,duchamp
641,348,10,97.0,duchamp
642,348,43,96.0,duchamp
643,349,71,48.0,Orozco
645,349,42,112.0,orozco
646,349,3,-102.0,rivera
647,349,33,92.0,Orozco
648,350,23,80.0,renoir
649,350,22,75.0,renoir
650,350,24,103.0,renoir
652,350,29,103.0,Renoir
653,350,60,100.0,renoir
654,350,129,103.0,renoir
655,350,1,103.0,renoir
656,350,2,103.0,renoir
657,350,98,103.0,renoir
659,350,42,99.0,renoir
660,350,132,-100.0,Toulouse Lautrec
661,350,88,103.0,renoir
662,351,14,101.0,Las Meninas
663,351,71,65.0,Las Meninas
664,351,29,81.0,Las Meninas
666,362,19,117.0,matisse
667,362,24,116.0,matisse
668,362,28,21.0,matisse
669,362,62,125.0,matisse
670,362,3,70.0,matisse
671,362,122,118.0,matisse
673,367,18,-111.0,the gulf stream
674,367,9,110.0,watson and the shark
675,367,35,132.0,watson and the shark
676,374,54,95.0,munch
677,374,28,145.0,munch
678,374,9,11.0,munch
680,374,10,73.0,munch
681,374,9,12.0,munch
682,374,88,149.0,munch
683,374,43,127.0,munch
684,376,52,32.0,christina's world
685,376,9,11.0,christina's world
687,376,33,55.0,Christina's World
688,376,9,19.0,christina's world
689,376,26,17.0,Christina's world
690,376,60,59.0,christinas word
691,376,119,58.0,christinas world
692,376,0,11.0,christina's world
694,377,23,-33.0,vermeeer
695,377,26,124.0,carravaggio
696,377,24,47.0,caravaggio
697,377,52,44.0,caravaggio
698,377,9,-124.0, 
699,377,33,45.0,Caravaggio
701,377,10,-47.0,van gogh
702,377,12,-69.0,bruegel
703,377,11,56.0,caravaggio
704,377,29,124.0,Carravagio
705,377,1,-50.0,van gogh
706,377,100,-103.0,rubens
708,377,15,-124.0,bronzino
709,377,38,-124.0,Michelangelo
710,377,98,52.0,caravaggio
711,377,16,41.0,caravaggio
712,377,27,42.0,caravaggio
713,377,17,55.0,caravaggio
715,377,8,-124.0,el greco
716,377,40,49.0,caravaggio
717,377,64,82.0,caravaggio
718,385,30,149.0,The Nightmare
719,385,9,118.0,the nightmare
720,385,9,-90.0,madame x
722,385,9,130.0,the nightmare
723,386,28,116.0,kiss
724,386,24,146.0,the kiss
725,386,64,123.0,the kiss
726,386,1,153.0,the kiss
727,386,88,-155.0,embrace
729,386,54,151.0,the kiss
730,393,26,-76.0,Sunday afternoon on the island of la grande jette
731,393,33,117.0,The Garden of Earthly Delights
732,393,89,105.0,garden of earthly delights
733,393,22,91.0,garden of earthly delights
734,393,133,11.0,Garden of Earthly Delights
736,393,135,113.0,Garden of Earthly Delights
737,393,136,112.0,garden of earthly delights
738,393,118,111.0,garden of earthly delights
739,393,29,109.0,The Garden of Earthly Delights
740,393,137,53.0,Garden of Earthly Delights
741,393,3,112.0,garden of earthly delights
743,393,30,120.0,Garden of Earthly Delights
744,393,138,110.0,the garden of earthly delights 
745,393,27,70.0,garden of earthly delights
746,393,139,68.0,garden of earthly delights
747,393,8,119.0,garden of earthly delights
748,393,140,76.0,Garden of Earthly Delights
750,395,24,54.0,hopper
751,395,51,58.0,hopper
752,395,14,64.0,Hopper
753,395,9,53.0,hopper
754,395,9,52.0,hopper
755,395,64,55.0,hopper
757,397,23,70.0,christina's world
758,397,22,54.0,christina's world
759,397,9,-18.0,wyeth
760,400,64,96.0,venus of urbino
761,400,31,-112.0,olympia
762,401,19,-116.0,seurrat
764,401,44,116.0,renoir
765,401,13,-116.0,manet
766,401,12,-116.0,lautrec
767,401,11,74.0,renoir
768,401,89,116.0,renoir
769,401,64,27.0,renoir
771,401,35,98.0,renoir
772,401,47,-115.0,Monet
773,401,42,76.0,renoir
774,401,9,48.0,renoir
775,401,50,-82.0,Vermeer
776,401,112,-76.0,pissarro
778,403,44,-119.0,madame x
779,403,30,-119.0,Madame X
780,403,21,59.0,Olympia
781,403,13,-54.0,venus of urbino
782,403,24,80.0,olympia
783,403,71,64.0,Olympia
785,403,89,119.0,olympia
786,403,132,88.0,Olympia
787,403,136,-119.0,the prostitute
788,403,114,78.0,olympia
789,403,7,-55.0,Portrait of Madame X
790,403,80,106.0,olympia
792,403,9,66.0,olympia
793,403,76,62.0,olympia
794,403,8,-119.0,luncheon on the grass
795,403,42,73.0,olympia
796,409,9,67.0,munch
797,409,20,103.0,munch
799,409,122,102.0,munch
800,10991,122,65.0,ricardo
801,5530,9,98.0,spanish tragedy
802,5530,33,98.0,The Spanish Tragedy
803,425,71,90.0,Copley
804,427,20,121.0,venus cupid folly and time
806,10995,9,-108.0,arrow
807,10995,6,82.0,coase
808,10995,28,-89.0,arrow
809,10995,132,86.0,Coase
810,10995,4,107.0,coase
811,10995,102,83.0,coase
813,10995,41,84.0,coase
814,437,74,-156.0, ray
815,437,112,156.0,ernst
816,437,14,-143.0,Dali
817,437,16,91.0,ernst
818,437,24,44.0,ernst
820,437,25,44.0,Max Ernst
821,437,58,-156.0,schmidt
822,437,94,-156.0,Lichtenstein
823,437,133,-13.0,cezanne
824,437,60,156.0,ernst
825,437,63,110.0,ernst
827,437,29,156.0,Max Ernst
828,437,79,-15.0,duchamp
829,437,106,-156.0,piet mondrian
830,437,144,-156.0,arp
831,437,81,-77.0,Goya
832,437,47,-156.0,braque
834,437,138,51.0,ernst 
835,437,139,-156.0,marc
836,437,140,-70.0,Chagall
837,10996,24,19.0,hayek
838,10996,28,110.0,hayek
839,10996,10,97.0,hayek]
841,446,20,86.0,sargent
842,446,98,-105.0,singer seargent
843,5536,51,107.0,great expectations
844,5536,88,107.0,great expectations
845,453,54,87.0,constable
846,453,18,95.0,constable
848,453,22,68.0,constable
849,453,25,40.0,Constable
850,453,71,84.0,Constable 
851,453,29,108.0,Constable
852,453,70,-67.0,monet
853,453,119,107.0,constable
855,453,47,108.0,Constable
856,453,1,108.0,constable
857,453,4,-108.0,gainsborough
858,453,122,108.0,john constable
859,453,72,-108.0,Gaisnborough
860,453,35,108.0,constable
862,454,18,49.0,wood
863,454,113,121.0,wood
864,454,73,-101.0,Trumbull
865,454,73,44.0,Grant Wood
866,454,71,45.0,Wood
867,454,98,99.0,wood
869,457,44,126.0,death of socrates
870,457,14,125.0,The Death of Socrates
871,457,52,33.0,death of socrates
872,457,90,113.0,socrates
873,457,29,-124.0,Death of Marat
874,457,116,-32.0,ambassadors
876,457,16,104.0,the death of socrates
877,463,18,105.0,el greco
878,463,24,84.0,el greco
879,463,52,20.0,el greco
880,463,9,110.0,el greco
881,463,70,119.0,el greco
883,463,136,-116.0,velasquez
884,463,112,106.0,el greco
885,463,92,107.0,el greco
886,463,114,82.0,el greco
887,463,36,19.0,el greco
888,463,81,116.0,Greco
890,463,42,85.0,el greco
891,463,93,85.0,el greco
892,463,94,105.0,El Greco
893,463,121,118.0,el greco
894,470,29,-133.0,El Greco
895,471,52,9.0,munch
897,471,98,126.0,munch
898,471,9,-10.0,van gogh
899,476,14,70.0,poussin
900,476,25,-108.0,Masacio
901,476,20,86.0,poussin
902,476,29,-149.0,Bologna
904,476,73,99.0,Poussin
905,476,116,-92.0,el greco
906,476,35,-149.0,francais
907,476,50,-149.0,david
908,483,13,-127.0,rodin
909,483,53,-127.0,gfsd
911,483,25,49.0,Klimt 
912,483,33,123.0,Klimt
913,483,10,117.0,klimt
914,483,90,-127.0,munsch
915,483,28,44.0,klimt
916,483,60,127.0,klimt
918,483,43,127.0,klimt
919,483,98,126.0,klimt
920,483,92,47.0,klimt
921,483,102,127.0,klimt
922,483,8,80.0,klimt
923,483,3,-48.0,munch
925,484,9,174.0,venus cupid folley and time
926,484,9,-174.0,allegory of death
927,484,27,174.0,venus cupid folly and time
928,484,10,174.0,venus cupid folly and time
929,487,30,-116.0,Rosetti
930,487,52,72.0,millais
932,487,71,104.0,Millais
933,487,29,116.0,Millias
934,487,10,-61.0,constable
935,487,3,107.0,millais
936,492,52,-12.0,lessing
937,492,73,102.0,Dorathea Lange
939,492,12,-102.0,dorothy day
940,492,11,89.0,lange
941,492,132,-102.0,Bourke-White
942,492,58,-88.0,stieglitz
943,492,29,-99.0,Adams
944,492,35,97.0,lange
946,492,9,102.0,lange
947,492,131,-102.0,adams
948,492,75,86.0,lange
949,492,115,99.0,lange
950,492,8,85.0,lange
951,492,101,-53.0,stieglitz
953,493,9,117.0,rousseau
954,498,9,104.0,Ghent Altarpiece
955,500,20,74.0,ingres
956,500,24,119.0,ingres
957,500,9,44.0,ingres
958,500,33,-73.0,Delacroix
960,111312,88,126.0,finland
961,111312,12,115.0,finland
962,510,20,128.0,courbet
963,510,1,185.0,courbet
964,510,3,128.0,courbet
965,510,9,165.0,Courbet
967,515,71,-106.0,Titian
968,515,106,-159.0,el greco
969,515,4,-159.0,massacio
970,515,144,145.0,veronese
971,515,39,-88.0,Giotto
972,515,108,-159.0,donatello
974,515,146,38.0,Veronese
975,515,42,-79.0,mantegna
976,5548,63,106.0,strindberg
977,527,9,39.0,ghent altarpiece
978,527,9,37.0,ghent altarpiece
979,527,3,82.0,ghent altarpiece
981,536,9,105.0,school of athens
982,536,42,55.0,school of athens
983,536,9,70.0,school of athens
984,541,9,103.0,landscape with the fall of icarus
985,548,30,16.0,Hungary
986,548,19,105.0,hungary
988,548,72,-93.0,Poland
989,548,26,-37.0,United Kingdom
990,548,12,34.0,hungary
991,548,24,71.0,hungary
992,548,62,-37.0,germany
993,548,29,105.0,Hungary
995,548,43,71.0,hungary
996,548,131,78.0,hungary
997,548,64,30.0,hungary
998,548,5,105.0,hungary
999,548,10,67.0,hungary
1000,548,38,83.0,Hungary
1002,548,115,39.0,hungary
1003,548,123,-41.0,england
1004,548,41,26.0,hungary
1005,548,122,-33.0,germany
1006,548,31,76.0,hungary
1007,549,51,102.0,munch
1009,549,64,102.0,munch
1010,552,52,-81.0,millais
1011,552,9,86.0,ingres
1012,552,42,131.0,ingres
1013,552,1,-123.0,manet
1014,552,3,106.0,ingres
1016,559,53,-135.0,Manet
1017,559,26,135.0,renoir
1018,559,119,135.0,renoir
1019,559,88,135.0,renoir
1020,559,9,77.0,renoir
1021,564,24,104.0,lange
1023,564,25,55.0,Lange
1024,564,26,126.0,lange
1025,564,71,101.0,Lange
1026,564,0,100.0,lange
1027,564,119,-121.0,adams
1028,564,80,108.0,lange
1030,564,7,104.0,Dorthea Lange
1031,564,15,128.0,lange
1032,564,9,128.0,lange
1033,564,92,113.0,lange
1034,564,112,99.0,lange
1035,564,16,104.0,lange
1037,566,20,65.0,chagall
1038,566,14,128.0,Chagall
