id,question,user,position,answer,,AvgUserPos,AvgQuestPos,RoundPos,QuestAnswered,UserPercent,QuestPercent
86,6549,35,129,a room with a view,,5.0,13.0,130.0,144,0.5277777777777778,0.6363636363636364
87,6549,48,129,room with a view,,14.0,13.0,130.0,88,0.5568181818181818,0.6363636363636364
88,6549,49,-126,The Light in the Piazza,,14.0,13.0,-130.0,123,0.5528455284552846,0.6363636363636364
89,6549,50,-129,G,,-21.0,13.0,-130.0,289,0.3771626297577855,0.6363636363636364
90,79,18,77,cole,,49.0,21.0,80.0,678,0.7817109144542773,0.7142857142857143
92,79,22,53,cole,,52.0,21.0,50.0,281,0.896797153024911,0.7142857142857143
93,79,52,9,cole,,29.0,21.0,10.0,370,0.9162162162162162,0.7142857142857143
94,79,53,-12,poop,,-19.0,21.0,-10.0,175,0.42857142857142855,0.7142857142857143
95,79,26,93,cole,,56.0,21.0,90.0,141,0.7588652482269503,0.7142857142857143
96,79,9,19,cole,,40.0,21.0,20.0,1128,0.7668439716312057,0.7142857142857143
97,79,47,-93,Millet,,59.0,21.0,-90.0,428,0.7897196261682243,0.7142857142857143
99,81,19,78,delacroix,,36.0,49.0,80.0,470,0.6829787234042554,0.8888888888888888
100,81,23,37,delacroix,,28.0,49.0,40.0,533,0.7129455909943715,0.8888888888888888
101,81,54,61,delacroix,,54.0,49.0,60.0,227,0.7797356828193832,0.8888888888888888
102,81,14,77,Delacroix,,39.0,49.0,80.0,580,0.7310344827586207,0.8888888888888888
103,81,55,69,delacroix,,58.0,49.0,70.0,47,0.8085106382978723,0.8888888888888888
104,81,16,40,delacroiz,,38.0,49.0,40.0,99,0.7373737373737373,0.8888888888888888
106,81,32,15,delacroix,,22.0,49.0,20.0,35,0.8857142857142857,0.8888888888888888
107,81,56,78,delacroix,,85.0,49.0,80.0,80,0.95,0.8888888888888888
108,81,25,28,Delacroix,,23.0,49.0,30.0,57,0.7368421052631579,0.8888888888888888
109,81,57,78,Delacroix,,34.0,49.0,80.0,82,0.6829268292682927,0.8888888888888888
110,81,58,-55,gauguin,,-14.0,49.0,-60.0,123,0.44715447154471544,0.8888888888888888
111,81,59,71,de la croix,,-17.0,49.0,70.0,69,0.4057971014492754,0.8888888888888888
113,81,61,66,delacroix,,51.0,49.0,70.0,27,0.8148148148148148,0.8888888888888888
114,81,62,62,delacroix,,31.0,49.0,60.0,518,0.6621621621621622,0.8888888888888888
115,81,63,77,delacroix,,45.0,49.0,80.0,89,0.6853932584269663,0.8888888888888888
116,81,7,56,Delacroix,,27.0,49.0,60.0,88,0.6363636363636364,0.8888888888888888
117,81,41,39,delacroix,,61.0,49.0,40.0,91,0.8461538461538461,0.8888888888888888
118,81,64,78,Delacroix,,62.0,49.0,80.0,569,0.8295254833040422,0.8888888888888888
120,81,15,77,delacroix,,46.0,49.0,80.0,76,0.75,0.8888888888888888
121,81,27,-69,el greco,,35.0,49.0,-70.0,370,0.6648648648648648,0.8888888888888888
122,81,65,78,delacroix,,65.0,49.0,80.0,43,0.813953488372093,0.8888888888888888
123,81,66,78,delacroix,,19.0,49.0,80.0,95,0.6,0.8888888888888888
124,81,17,73,delocroix,,25.0,49.0,70.0,83,0.6626506024096386,0.8888888888888888
125,81,67,68,delacroix,,42.0,49.0,70.0,50,0.74,0.8888888888888888
127,81,8,-69,brunelleschi,,9.0,49.0,-70.0,42,0.5476190476190477,0.8888888888888888
128,81,69,50,delacroix,,55.0,49.0,50.0,39,0.7948717948717948,0.8888888888888888
129,81,31,69,delacroix,,34.0,49.0,70.0,356,0.6657303370786517,0.8888888888888888
130,82,28,102,isenheim altarpiece,,47.0,42.0,100.0,720,0.7777777777777778,0.6666666666666666
131,82,0,102,isenheim altarpiece,,56.0,42.0,100.0,312,0.8301282051282052,0.6666666666666666
132,82,27,-77,grunewald alterpiece,,35.0,42.0,-80.0,370,0.6648648648648648,0.6666666666666666
134,83,14,-100,Matisse,,39.0,-8.0,-100.0,580,0.7310344827586207,0.5
135,83,20,99,rousseau,,56.0,-8.0,100.0,707,0.7906647807637907,0.5
136,83,9,68,rousseau,,40.0,-8.0,70.0,1128,0.7668439716312057,0.5
137,83,12,-100,matisse,,31.0,-8.0,-100.0,153,0.6862745098039216,0.5
138,87,54,89,the swing,,54.0,81.0,90.0,227,0.7797356828193832,1.0
139,87,70,106,the swing,,76.0,81.0,110.0,128,0.875,1.0
141,87,49,96,The Swing,,14.0,81.0,100.0,123,0.5528455284552846,1.0
142,87,9,31,The Swing,,40.0,81.0,30.0,1128,0.7668439716312057,1.0
143,90,9,113,matisse,,40.0,96.0,110.0,1128,0.7668439716312057,1.0
144,90,71,90,Matisse,,50.0,96.0,90.0,559,0.8103756708407871,1.0
145,90,29,113,Matisse,,-2.0,96.0,110.0,194,0.4845360824742268,1.0
146,90,43,113,matisse,,34.0,96.0,110.0,572,0.701048951048951,1.0
148,90,1,109,matisse,,31.0,96.0,110.0,498,0.6465863453815262,1.0
149,90,42,39,matisse,,51.0,96.0,40.0,661,0.800302571860817,1.0
150,91,72,119,Renoir,,19.0,82.0,120.0,185,0.6270270270270271,1.0
151,91,9,25,renoir,,40.0,82.0,30.0,1128,0.7668439716312057,1.0
152,91,5,119,renoir,,39.0,82.0,120.0,138,0.7246376811594203,1.0
153,91,49,119,Renoir,,14.0,82.0,120.0,123,0.5528455284552846,1.0
155,91,9,26,renoir,,40.0,82.0,30.0,1128,0.7668439716312057,1.0
156,93,9,-117,romeo and juliet,,40.0,49.0,-120.0,1128,0.7668439716312057,0.75
157,93,24,117,the tempest,,50.0,49.0,120.0,404,0.7970297029702971,0.75
158,93,42,77,tempest,,51.0,49.0,80.0,661,0.800302571860817,0.75
159,93,27,117,the tempest,,35.0,49.0,120.0,370,0.6648648648648648,0.75
160,94,9,77,the kiss,,40.0,80.0,80.0,1128,0.7668439716312057,1.0
162,94,23,73,kiss,,28.0,80.0,70.0,533,0.7129455909943715,1.0
163,94,62,93,the kiss,,31.0,80.0,90.0,518,0.6621621621621622,1.0
164,94,60,90,kiss,,54.0,80.0,90.0,201,0.8059701492537313,1.0
165,94,64,67,the kiss,,62.0,80.0,70.0,569,0.8295254833040422,1.0
166,96,73,98,the kiss,,44.0,95.0,100.0,646,0.7275541795665634,1.0
167,96,42,92,the kiss,,51.0,95.0,90.0,661,0.800302571860817,1.0
169,99,42,91,"venus, cupid, folly, and time",,51.0,91.0,90.0,661,0.800302571860817,1.0
170,102,9,88,tribute money,,40.0,93.0,90.0,1128,0.7668439716312057,1.0
171,102,28,97,tribute money,,47.0,93.0,100.0,720,0.7777777777777778,1.0
172,114,74,-71, Ghent Altarpiece,,37.0,43.0,-70.0,29,0.7241379310344828,0.75
173,114,14,83,The Garden of Earthly delights,,39.0,43.0,80.0,580,0.7310344827586207,0.75
174,114,30,-68,Ghent Altarpiece,,43.0,43.0,-70.0,940,0.7680851063829788,0.75
176,114,75,118,garden of earthly delights,,43.0,43.0,120.0,40,0.75,0.75
177,114,76,62,garden of earthly delights,,66.0,43.0,60.0,38,0.868421052631579,0.75
178,114,77,-99,isenheim,,54.0,43.0,-100.0,18,0.8333333333333334,0.75
179,114,41,71,garden of earthly delights,,61.0,43.0,70.0,91,0.8461538461538461,0.75
180,114,78,73,the garden of earthly delights,,48.0,43.0,70.0,45,0.8,0.75
181,114,45,-118,Garden of Love,,56.0,43.0,-120.0,160,0.85,0.75
183,114,80,72,garden of earthly delights,,33.0,43.0,70.0,134,0.7388059701492538,0.75
184,114,81,118,Garden of Earthly Delights,,38.0,43.0,120.0,9,0.6666666666666666,0.75
185,114,82,101,The Garden of Earthly Delights,,-40.0,43.0,100.0,37,0.35135135135135137,0.75
186,114,83,118,Garden of Earthly Delights,,-14.0,43.0,120.0,24,0.5,0.75
187,114,38,29,The Garden of Earthly Delights,,-18.0,43.0,30.0,39,0.4358974358974359,0.75
188,114,42,74,garden of earthly delights,,51.0,43.0,70.0,661,0.800302571860817,0.75
190,114,67,88,the garden of earthly delights,,42.0,43.0,90.0,50,0.74,0.75
191,114,50,81,garden of earthly delights,,-21.0,43.0,80.0,289,0.3771626297577855,0.75
192,114,85,118,garden of earthly delights,,25.0,43.0,120.0,14,0.7142857142857143,0.75
193,114,86,61,Garden of Earthly Delights,,40.0,43.0,60.0,15,0.8,0.75
194,114,87,-46,las meninas,,11.0,43.0,-50.0,41,0.5365853658536586,0.75
195,118,9,39,hals,,40.0,39.0,40.0,1128,0.7668439716312057,1.0
197,119,9,18,sargent,,40.0,63.0,20.0,1128,0.7668439716312057,1.0
198,119,71,88,Singer-Sargent,,50.0,63.0,90.0,559,0.8103756708407871,1.0
199,119,43,86,sargent,,34.0,63.0,90.0,572,0.701048951048951,1.0
200,119,3,61,sargent,,50.0,63.0,60.0,802,0.7830423940149626,1.0
201,5482,43,-81,the garden party,,34.0,-81.0,-80.0,572,0.701048951048951,0.0
202,128,23,39,hopper,,28.0,47.0,40.0,533,0.7129455909943715,1.0
204,128,88,61,hopper,,60.0,47.0,60.0,240,0.7791666666666667,1.0
205,128,42,42,hopper,,51.0,47.0,40.0,661,0.800302571860817,1.0
206,128,27,39,hopper,,35.0,47.0,40.0,370,0.6648648648648648,1.0
207,128,33,55,Hopper,,52.0,47.0,60.0,592,0.847972972972973,1.0
208,132,24,104,botticelli,,50.0,108.0,100.0,404,0.7970297029702971,1.0
209,132,30,111,Botticelli,,43.0,108.0,110.0,940,0.7680851063829788,1.0
211,132,71,108,Botticelli,,50.0,108.0,110.0,559,0.8103756708407871,1.0
212,132,30,111,Botticelli,,43.0,108.0,110.0,940,0.7680851063829788,1.0
213,132,62,111,botticelli,,31.0,108.0,110.0,518,0.6621621621621622,1.0
214,132,42,105,botticelli,,51.0,108.0,110.0,661,0.800302571860817,1.0
215,132,10,108,botticelli,,49.0,108.0,110.0,442,0.8076923076923077,1.0
216,133,30,77,School of Athens,,43.0,64.0,80.0,940,0.7680851063829788,1.0
218,133,43,51,school of athens,,34.0,64.0,50.0,572,0.701048951048951,1.0
219,135,18,30,potato eaters,,49.0,30.0,30.0,678,0.7817109144542773,0.6521739130434783
220,135,44,99,potato eaters,,71.0,30.0,100.0,127,0.84251968503937,0.6521739130434783
221,135,19,95,the potato eaters,,36.0,30.0,100.0,470,0.6829787234042554,0.6521739130434783
222,135,21,27,Potato Eaters,,40.0,30.0,30.0,190,0.7368421052631579,0.6521739130434783
223,135,24,58,potato eaters,,50.0,30.0,60.0,404,0.7970297029702971,0.6521739130434783
225,135,9,-18,time transfixed,,40.0,30.0,-20.0,1128,0.7668439716312057,0.6521739130434783
226,135,59,-81,night hawks,,-17.0,30.0,-80.0,69,0.4057971014492754,0.6521739130434783
227,135,89,98,the potato eaters,,27.0,30.0,100.0,188,0.6542553191489362,0.6521739130434783
228,135,12,99,the potato eaters,,31.0,30.0,100.0,153,0.6862745098039216,0.6521739130434783
229,135,63,99,the potato eaters,,45.0,30.0,100.0,89,0.6853932584269663,0.6521739130434783
230,135,90,98,potato eaters,,35.0,30.0,100.0,40,0.7,0.6521739130434783
232,135,91,27,potato eaters,,54.0,30.0,30.0,91,0.8681318681318682,0.6521739130434783
233,135,92,74,potato eaters,,56.0,30.0,70.0,80,0.775,0.6521739130434783
234,135,43,-76,Belshazzar's Feast,,34.0,30.0,-80.0,572,0.701048951048951,0.6521739130434783
235,135,64,-99,turnip-eaters,,62.0,30.0,-100.0,569,0.8295254833040422,0.6521739130434783
236,135,81,99,Potato eaters,,38.0,30.0,100.0,9,0.6666666666666666,0.6521739130434783
237,135,75,99,potato eaters,,43.0,30.0,100.0,40,0.75,0.6521739130434783
239,135,27,-46,vermeer,,35.0,30.0,-50.0,370,0.6648648648648648,0.6521739130434783
240,135,93,-33,night cafe,,26.0,30.0,-30.0,141,0.7021276595744681,0.6521739130434783
241,135,39,-78,Hilanderas,,25.0,30.0,-80.0,85,0.6235294117647059,0.6521739130434783
242,135,94,-47,Nighthawks,,-25.0,30.0,-50.0,61,0.36065573770491804,0.6521739130434783
243,135,17,76,the potato eaters,,25.0,30.0,80.0,83,0.6626506024096386,0.6521739130434783
244,135,95,90,the potato eaters,,-11.0,30.0,90.0,46,0.4782608695652174,0.6521739130434783
246,139,33,20,El Greco,,52.0,27.0,20.0,592,0.847972972972973,0.625
247,139,58,-57,parmagianino,,-14.0,27.0,-60.0,123,0.44715447154471544,0.625
248,139,62,-56,tintoretto,,31.0,27.0,-60.0,518,0.6621621621621622,0.625
249,139,37,92,el greco,,55.0,27.0,90.0,98,0.7551020408163265,0.625
250,139,96,83,el greco,,38.0,27.0,80.0,70,0.6714285714285714,0.625
251,139,97,97,el greco,,80.0,27.0,100.0,21,0.8571428571428571,0.625
253,139,27,-60,tintoretto,,35.0,27.0,-60.0,370,0.6648648648648648,0.625
254,139,99,100,el greco,,75.0,27.0,100.0,15,0.8,0.625
255,147,49,83,The Potato Eaters,,14.0,33.0,80.0,123,0.5528455284552846,0.75
256,147,71,53,Potato Eaters,,50.0,33.0,50.0,559,0.8103756708407871,0.75
257,147,72,108,Potato Eaters,,19.0,33.0,110.0,185,0.6270270270270271,0.75
258,147,25,28,Potato Eaters ,,23.0,33.0,30.0,57,0.7368421052631579,0.75
260,147,100,-86,at the moulin rouge,,38.0,33.0,-90.0,60,0.6833333333333333,0.75
261,147,4,112,potato eaters,,73.0,33.0,110.0,175,0.8685714285714285,0.75
262,147,15,62,the potato eaters,,46.0,33.0,60.0,76,0.75,0.75
263,147,9,-29,potato easters,,40.0,33.0,-30.0,1128,0.7668439716312057,0.75
264,147,101,19,the potato eaters,,21.0,33.0,20.0,86,0.5930232558139535,0.75
265,147,50,67,potato eaters,,-21.0,33.0,70.0,289,0.3771626297577855,0.75
267,147,8,-112,cafe terrace at night,,9.0,33.0,-110.0,42,0.5476190476190477,0.75
268,147,40,94,potato eaters,,49.0,33.0,90.0,149,0.87248322147651,0.75
269,150,51,95,watson and the shark,,53.0,61.0,100.0,427,0.8009367681498829,0.875
270,150,54,-36,the arnolfini wedding,,54.0,61.0,-40.0,227,0.7797356828193832,0.875
271,150,22,58,watson and the shark,,52.0,61.0,60.0,281,0.896797153024911,0.875
272,150,14,74,Watson and the Shark,,39.0,61.0,70.0,580,0.7310344827586207,0.875
274,150,28,77,watson and  the shark,,47.0,61.0,80.0,720,0.7777777777777778,0.875
275,150,0,61,watson and the shark,,56.0,61.0,60.0,312,0.8301282051282052,0.875
276,150,29,95,Sharks,,-2.0,61.0,100.0,194,0.4845360824742268,0.875
277,150,98,67,Watson and the shark,,50.0,61.0,70.0,376,0.7340425531914894,0.875
278,156,103,88,the garden of earthly delights,,48.0,53.0,90.0,21,0.8571428571428571,0.9090909090909091
279,156,18,34,garden of earthly delightss,,49.0,53.0,30.0,678,0.7817109144542773,0.9090909090909091
281,156,61,83,the garden of earthly delights,,51.0,53.0,80.0,27,0.8148148148148148,0.9090909090909091
282,156,96,36,garden of earthly delights,,38.0,53.0,40.0,70,0.6714285714285714,0.9090909090909091
283,156,71,39,The Garden of Earthly Delights,,50.0,53.0,40.0,559,0.8103756708407871,0.9090909090909091
284,156,104,35,garden of earthly delights,,68.0,53.0,40.0,41,0.9512195121951219,0.9090909090909091
285,156,57,70,Garden of earthly Delights,,34.0,53.0,70.0,82,0.6829268292682927,0.9090909090909091
286,156,25,20,Garden of Earthly Delights,,23.0,53.0,20.0,57,0.7368421052631579,0.9090909090909091
288,156,94,109,The Garden of Earthly Delights,,-25.0,53.0,110.0,61,0.36065573770491804,0.9090909090909091
289,156,11,-62,ghent alterpiece,,54.0,53.0,-60.0,161,0.8012422360248447,0.9090909090909091
290,156,63,-50,ghent altarpiece,,45.0,53.0,-50.0,89,0.6853932584269663,0.9090909090909091
291,156,90,45,garden of earthly delights,,35.0,53.0,50.0,40,0.7,0.9090909090909091
292,156,39,109,Garden of Earthly Delights,,25.0,53.0,110.0,85,0.6235294117647059,0.9090909090909091
293,156,105,19,garden of earthly delights,,55.0,53.0,20.0,24,0.9583333333333334,0.9090909090909091
295,156,64,109,The Garden of Earthly Delights,,62.0,53.0,110.0,569,0.8295254833040422,0.9090909090909091
296,156,15,109,garden of earthly delights,,46.0,53.0,110.0,76,0.75,0.9090909090909091
297,156,107,26,The Garden of Earthly Delights,,52.0,53.0,30.0,27,0.7777777777777778,0.9090909090909091
298,156,108,109,garden of earthly delights,,-31.0,53.0,110.0,23,0.391304347826087,0.9090909090909091
299,156,109,23,The Garden of Earthly Delights,,3.0,53.0,20.0,16,0.4375,0.9090909090909091
300,156,110,72,gardem of earthly delights,,54.0,53.0,70.0,19,0.7368421052631579,0.9090909090909091
302,156,17,76,the garden of earthly delights,,25.0,53.0,80.0,83,0.6626506024096386,0.9090909090909091
303,156,102,75,garden of earthly delights,,72.0,53.0,80.0,57,0.9298245614035088,0.9090909090909091
304,159,30,32,Bacon,,43.0,27.0,30.0,940,0.7680851063829788,0.6666666666666666
305,159,111,89,Bacon,,17.0,27.0,90.0,113,0.5663716814159292,0.6666666666666666
306,159,9,-39,duchamp,,40.0,27.0,-40.0,1128,0.7668439716312057,0.6666666666666666
307,162,19,-87,bauhaus,,36.0,-87.0,-90.0,470,0.6829787234042554,0.0
309,10950,18,-85,ricardo,,49.0,-85.0,-90.0,678,0.7817109144542773,0.0
310,10950,17,-85,Mill,,25.0,-85.0,-90.0,83,0.6626506024096386,0.0
311,167,13,99,cole,,31.0,39.0,100.0,168,0.6666666666666666,0.75
312,167,24,99,cole,,50.0,39.0,100.0,404,0.7970297029702971,0.75
313,167,25,55,Cole,,23.0,39.0,60.0,57,0.7368421052631579,0.75
314,167,29,-99,Copeland,,-2.0,39.0,-100.0,194,0.4845360824742268,0.75
316,168,24,28,raft of the medusa,,50.0,50.0,30.0,404,0.7970297029702971,1.0
317,168,71,74,The Raft of the Medusa,,50.0,50.0,70.0,559,0.8103756708407871,1.0
318,168,9,54,raft of the medusa,,40.0,50.0,50.0,1128,0.7668439716312057,1.0
319,168,9,40,raft of the medusa,,40.0,50.0,40.0,1128,0.7668439716312057,1.0
320,168,9,15,raft of the medusa,,40.0,50.0,20.0,1128,0.7668439716312057,1.0
321,168,27,87,raft of the medusa,,35.0,50.0,90.0,370,0.6648648648648648,1.0
323,171,9,-15,rembrandt,,40.0,28.0,-20.0,1128,0.7668439716312057,0.75
324,171,9,10,donatello,,40.0,28.0,10.0,1128,0.7668439716312057,0.75
325,171,113,87,Donatello,,59.0,28.0,90.0,135,0.8296296296296296,0.75
326,171,27,28,donatello,,35.0,28.0,30.0,370,0.6648648648648648,0.75
327,178,51,91,las meninas,,53.0,51.0,90.0,427,0.8009367681498829,0.875
328,178,30,73,Las Meninas,,43.0,51.0,70.0,940,0.7680851063829788,0.875
330,178,53,-102,reshyrt  ,,-19.0,51.0,-100.0,175,0.42857142857142855,0.875
331,178,60,91,las meninas,,54.0,51.0,90.0,201,0.8059701492537313,0.875
332,178,64,93,las meninas,,62.0,51.0,90.0,569,0.8295254833040422,0.875
333,178,114,38,las meninas,,51.0,51.0,40.0,142,0.7746478873239436,0.875
334,178,47,80,las meninas,,59.0,51.0,80.0,428,0.7897196261682243,0.875
335,178,27,41,las meninas,,35.0,51.0,40.0,370,0.6648648648648648,0.875
337,182,44,-58,El Greco,,71.0,47.0,-60.0,127,0.84251968503937,0.896551724137931
338,182,103,66,delacroix,,48.0,47.0,70.0,21,0.8571428571428571,0.896551724137931
339,182,115,55,delacroix,,64.0,47.0,60.0,249,0.8152610441767069,0.896551724137931
340,182,49,59,Delacroix,,14.0,47.0,60.0,123,0.5528455284552846,0.896551724137931
341,182,20,55,delacroix,,56.0,47.0,60.0,707,0.7906647807637907,0.896551724137931
342,182,33,52,delacroix,,52.0,47.0,50.0,592,0.847972972972973,0.896551724137931
344,182,0,54,delacroix,,56.0,47.0,50.0,312,0.8301282051282052,0.896551724137931
345,182,25,54,Delacroix,,23.0,47.0,50.0,57,0.7368421052631579,0.896551724137931
346,182,117,61,delacroix,,57.0,47.0,60.0,23,0.782608695652174,0.896551724137931
347,182,11,56,delacroix,,54.0,47.0,60.0,161,0.8012422360248447,0.896551724137931
348,182,90,66,delacroix,,35.0,47.0,70.0,40,0.7,0.896551724137931
349,182,118,52,delacroix,,80.0,47.0,50.0,14,0.9285714285714286,0.896551724137931
351,182,29,56,Delacroix,,-2.0,47.0,60.0,194,0.4845360824742268,0.896551724137931
352,182,106,-66,i forget,,12.0,47.0,-70.0,32,0.59375,0.896551724137931
353,182,100,51,delacroix,,38.0,47.0,50.0,60,0.6833333333333333,0.896551724137931
354,182,100,50,delacroix,,38.0,47.0,50.0,60,0.6833333333333333,0.896551724137931
355,182,3,-34,Duchamp,,50.0,47.0,-30.0,802,0.7830423940149626,0.896551724137931
356,182,43,56,delacroix,,34.0,47.0,60.0,572,0.701048951048951,0.896551724137931
358,182,119,61,delacroix,,59.0,47.0,60.0,183,0.825136612021858,0.896551724137931
359,182,81,66,Delecroix,,38.0,47.0,70.0,9,0.6666666666666666,0.896551724137931
360,182,5,64,Delacroix,,39.0,47.0,60.0,138,0.7246376811594203,0.896551724137931
361,182,47,53,delacroix,,59.0,47.0,50.0,428,0.7897196261682243,0.896551724137931
362,182,9,54,delacroix,,40.0,47.0,50.0,1128,0.7668439716312057,0.896551724137931
363,182,5,56,delacroix,,39.0,47.0,60.0,138,0.7246376811594203,0.896551724137931
365,182,120,66,delacroix,,67.0,47.0,70.0,35,0.8857142857142857,0.896551724137931
